State,State Abbreviation,MobilityRestrictedDate
Alabama,AL,3/13/2020
Alaska,AK,3/11/2020
Arizona,AZ,3/11/2020
Arkansas,AR,3/11/2020
California,CA,3/4/2020
Colorado,CO,3/11/2020
Connecticut,CT,3/10/2020
Delaware,DE,3/13/2020
District of Columbia,DC,3/11/2020
Florida,FL,3/9/2020
Georgia,GA,3/14/2020
Hawaii,HI,3/4/2020
Idaho,ID,3/13/2020
Illinois,IL,3/9/2020
Indiana,IN,3/6/2020
Iowa,IA,3/9/2020
Kansas,KS,3/12/2020
Kentucky,KY,3/6/2020
Louisiana,LA,3/11/2020
Maine,ME,3/15/2020
Maryland,MD,3/5/2020
Massachusetts,MA,3/10/2020
Michigan,MI,3/10/2020
Minnesota,MN,3/13/2020
Mississippi,MS,3/14/2020
Missouri,MO,3/13/2020
Montana,MT,3/12/2020
Nebraska,NE,3/13/2020
Nevada,NV,3/12/2020
New Hampshire,NH,3/13/2020
New Jersey,NJ,3/9/2020
New Mexico,NM,3/11/2020
New York,NY,3/7/2020
North Carolina,NC,3/10/2020
North Dakota,ND,3/13/2020
Ohio,OH,3/9/2020
Oklahoma,OK,3/15/2020
Oregon,OR,3/8/2020
Pennsylvania,PA,3/6/2020
Rhode Island,RI,3/9/2020
South Carolina,SC,3/13/2020
South Dakota,SD,3/13/2020
Tennessee,TN,3/12/2020
Texas,TX,3/13/2020
Utah,UT,3/6/2020
Vermont,VT,3/13/2020
Virginia,VA,3/12/2020
Washington,WA,2/29/2020
West Virginia,WV,3/16/2020
Wisconsin,WI,3/12/2020
Wyoming,WY,3/13/2020
