,Date,energy,energy_2019,change
94,Feb 2020,661379336.0,674408134.0,-0.03444171398678458
145,Mar 2020,629117599.0,641519600.0,-0.037458382552309724
196,Apr 2020,589151592.0,623170224.0,-0.10943796333680314
247,May 2020,584157954.0,626945076.0,-0.13538698887676565
298,Jun 2020,656317884.0,683271366.0,-0.08136104251231449
349,Jul 2020,761284141.0,762900886.0,-0.004414255290211925
400,Aug 2020,807819410.0,811369847.0,-0.008823167162477628
451,Sep 2020,731518835.0,761848515.0,-0.08325845709562413
502,Oct 2020,646772090.0,680701659.0,-0.09647367178722022
553,Nov 2020,614765662.0,635957992.0,-0.06682415166652328
604,Dec 2020,645578282.0,653960915.0,-0.027835926886212496
655,Jan 2021,695040009.0,697710076.0,-0.006367367556061286
706,Feb 2021,678529056.0,674408134.0,0.016525026122195717
757,Mar 2021,639975947.0,641519600.0,-0.003272847992958648
808,Apr 2021,604620833.0,623170224.0,-0.05807945390632449
859,May 2021,611300023.0,626945076.0,-0.04878311388608354
910,Jun 2021,692501726.0,683271366.0,0.023923527472947445
961,Jul 2021,778333474.0,762900886.0,0.045820880705793474
1012,Aug 2021,818611912.0,811369847.0,0.018318886960692143
1063,Sep 2021,762026339.0,761848515.0,-0.0030589544356454043
