transit,month_year
97.76241410818713,Jan 2020
99.93750838122605,Feb 2020
65.78857862903226,Mar 2020
34.58638078703704,Apr 2020
43.920161996829336,May 2020
57.85832638888889,Jun 2020
61.23079413082437,Jul 2020
63.2652251344086,Aug 2020
65.02004513888889,Sep 2020
62.44149529569892,Oct 2020
53.84935300925926,Nov 2020
48.772443996415774,Dec 2020
50.02735663082437,Jan 2021
53.62802703373016,Feb 2021
61.521473379629626,Mar 2021
67.05052314814814,Apr 2021
71.85848790322581,May 2021
83.03187384259259,Jun 2021
87.67002352150537,Jul 2021
93.8596001344086,Aug 2021
104.93601967592593,Sep 2021
104.06086245519712,Oct 2021
97.58759259259259,Nov 2021
